RegionID,SizeRank,City/State,Lat,Long,Monthly Average,Radius,YOY %
395244,122,"York, PA",39.9626,-76.7277,1172,12.5,6.50%
395183,123,"Vallejo, CA",38.1041,-122.2566,2271,12.5,3.40%
753917,124,"Santa Maria, CA",34.953,-120.4357,2801,12.5,0.40%
395050,125,"Salinas, CA",36.6777,-121.6555,2343,15,5.30%
395048,126,"Salem, OR",44.9429,-123.0351,1579,12.5,1.70%
394870,127,"Mobile, AL",30.6954,-88.0399,1338,15,4.20%
395015,128,"Reading, PA",40.3356,-75.9269,1337,12.5,1.40%
394502,129,"Corpus Christi, TX",27.8006,-97.3964,1181,17.5,0.30%
394421,130,"Brownsville, TX",25.9017,-97.4975,1121,15,2.80%
394820,131,"Manchester, NH",42.9956,-71.4548,2096,12.5,4.00%
394612,132,"Fort Wayne, IN",41.0793,-85.1394,1149,15,3.70%
394658,133,"Gulfport, MS",30.3674,-89.0928,1326,12.5,4.10%
395051,134,"Salisbury, MD",38.3607,-75.5994,1758,12.5,7.90%
394596,135,"Flint, MI",43.0125,-83.6875,1087,12.5,2.90%
394972,136,"Peoria, IL",40.6936,-89.589,1095,12.5,6.60%
394439,137,"Canton, OH",40.7989,-81.3784,996,12.5,5.60%
395070,138,"Savannah, GA",32.0809,-81.0912,1705,12.5,1.50%
394327,139,"Anchorage, AK",61.2181,-149.9003,1530,17.5,3.30%
394372,140,"Beaumont, TX",30.0802,-94.1266,1046,15,8.70%
395096,141,"Shreveport, LA",32.5252,-93.7502,1373,12.5,6.90%
395164,142,"Trenton, NJ",40.2171,-74.7429,2511,12.5,1.70%
394875,143,"Montgomery, AL",32.3792,-86.3077,1376,12.5,4.40%
394520,144,"Davenport, IA",41.5236,-90.5776,838,15,0.40%
395146,145,"Tallahassee, FL",30.4383,-84.2807,1374,12.5,4.50%
394576,146,"Eugene, OR",44.0521,-123.0868,1740,12.5,2.30%
394901,147,"Naples, FL",26.142,-81.7948,2361,12.5,1.60%
394332,148,"Ann Arbor, MI",42.2808,-83.743,2067,12.5,4.80%
394927,149,"Ocala, FL",29.1872,-82.1401,1453,12.5,3.00%
394679,150,"Hickory, NC",35.7332,-81.3412,1402,12.5,8.30%
394697,151,"Huntington, WV",38.4193,-82.4452,841,12.5,3.60%
394602,152,"Fort Collins, CO",40.5853,-105.0844,1719,12.5,1.40%
395033,153,"Rockford, IL",42.2711,-89.0937,1108,12.5,7.80%
394796,154,"Lincoln, NE",40.8136,-96.7026,1205,12.5,2.70%
394622,155,"Gainesville, FL",29.6516,-82.3248,1588,12.5,3.70%
394405,156,"Boulder, CO",40.01499,-105.2705,2117,12.5,0.90%
394646,157,"Green Bay, WI",44.5133,-88.0133,981,12.5,7.40%
394488,158,"Columbus, GA",32.46,-84.9877,1143,15,5.10%
395107,159,"South Bend, IN",41.6764,-86.252,1669,12.5,8.90%
395109,160,"Spartanburg, SC",34.9496,-81.932,1317,15,3.70%
394645,161,"Greeley, CO",40.4233,-104.7091,1469,12.5,0.90%
394808,162,"Lubbock, TX",33.5779,-101.8552,1045,12.5,2.20%
394471,163,"Clarksville, TN",36.5298,-87.3595,1180,12.5,2.00%
395028,164,"Roanoke, VA",37.2709,-79.9414,1325,12.5,5.70%
394579,165,"Evansville, IN",37.9716,-87.5711,820,12.5,5.20%
394747,167,"Kingsport, TN",36.5484,-82.5618,1199,12.5,5.00%
394741,168,"Kennewick, WA",46.2112,-119.1372,1651,12.5,2.10%
395179,169,"Utica, NY",43.1009,-75.2327,1214,12.5,4.80%
394660,170,"Hagerstown, MD",39.6418,-77.719,1448,12.5,4.90%
394543,171,"Duluth, MN",46.7867,-92.1005,1233,12.5,8.00%
394937,172,"Olympia, WA",47.0379,-122.9007,1829,12.5,4.40%
394803,173,"Longview, TX",32.5007,-94.7405,996,10,6.60%
395229,174,"Wilmington, NC",34.2257,-77.9447,1557,12.5,-0.20%
395061,175,"San Luis Obispo, CA",35.2828,-120.6596,2463,12.5,6.10%
753875,176,"Crestview, FL",30.7621,-86.5705,1764,10,-1.70%
394851,177,"Merced, CA",37.3022,-120.482,1580,12.5,7.10%
395197,178,"Waco, TX",31.5493,-97.1467,1371,12.5,0.00%
394447,179,"Cedar Rapids, IA",41.9779,-91.6656,815,12.5,5.90%
394348,180,"Atlantic City, NJ",39.3643,-74.4229,1865,10,8.50%
394412,181,"Bremerton, WA",47.5673,-122.6326,1875,12.5,2.80%
395103,182,"Sioux Falls, SD",43.5446,-96.7311,1099,12.5,0.40%
395065,183,"Santa Cruz, CA",36.9741,-122.0308,3177,12.5,2.10%
394572,184,"Erie, PA",42.1292,-80.0851,861,15,11.90%
394924,185,"Norwich, CT",41.5243,-72.0759,1667,10,0.50%
394323,186,"Amarillo, TX",35.221,-101.8313,913,15,2.40%
394772,187,"Laredo, TX",27.5306,-99.4803,1229,12.5,7.00%
395171,188,"Tuscaloosa, AL",33.2098,-87.5692,1168,10,3.80%
394483,189,"College Station, TX",30.6279,-96.3344,1305,12.5,3.40%
394732,190,"Kalamazoo, MI",42.2917,-85.5872,1186,12.5,3.30%
394811,191,"Lynchburg, VA",37.4138,-79.1423,1042,10,5.20%
394455,192,"Charleston, WV",38.3498,-81.6326,1178,15,9.20%
395240,193,"Yakima, WA",46.6021,-120.5059,1176,10,0.00%
394585,194,"Fargo, ND",46.8772,-96.7898,975,15,2.70%
394387,195,"Binghamton, NY",42.0987,-75.918,1272,12.5,7.50%
394609,196,"Fort Smith, AR",35.3859,-94.3986,790,12.5,2.70%
394334,197,"Appleton, WI",44.2619,-88.4154,1094,12.5,4.80%
845160,198,"Prescott Valley, AZ",34.61,-112.3157,1722,12.5,5.50%
395161,199,"Topeka, KS",39.0558,-95.689,1169,12.5,5.20%
394813,200,"Macon, GA",32.8407,-83.6324,1117,12.5,-1.40%
395174,201,"Tyler, TX",32.3513,-95.3011,1304,10,4.10%
394361,202,"Barnstable Town, MA",41.7003,-70.3002,2733,12.5,1.30%
394519,203,"Daphne, AL",30.6035,-87.9036,1484,10,-1.20%
394378,205,"Bellingham, WA",48.7544,-122.4687,1753,12.5,4.70%
394429,206,"Burlington, VT",44.4759,-73.2121,1920,12.5,1.80%
395030,207,"Rochester, MN",44.0121,-92.4802,1591,12.5,2.10%
753895,208,"Lafayette, IN",40.4167,-86.8753,1136,10,6.10%
394454,209,"Champaign, IL",40.1164,-88.2434,969,12.5,6.50%
394848,210,"Medford, OR",42.3265,-122.8756,1432,12.5,7.70%
845164,211,"Lebanon, NH",43.6423,-72.2518,1726,10,8.20%
394459,212,"Charlottesville, VA",38.0293,-78.4767,1819,12.5,3.00%
394763,213,"Lake Charles, LA",30.2266,-93.2174,1013,12.5,1.90%
394773,214,"Las Cruces, NM",32.3199,-106.7637,945,12.5,4.10%
394464,215,"Chico, CA",39.7285,-121.8375,1457,12.5,3.40%
394681,216,"Hilton Head Island, SC",32.2163,-80.7526,1913,7.5,-1.30%
394346,217,"Athens, GA",33.9519,-83.3576,1561,12.5,0.30%
394765,218,"Lake Havasu City, AZ",34.4839,-114.3225,1309,10,4.70%
394485,219,"Columbia, MO",38.9517,-92.3341,1043,15,5.60%
395114,220,"Springfield, IL",39.7817,-89.6501,1013,12.5,3.00%
394691,221,"Houma, LA",29.5958,-90.7195,1348,10,6.10%
394872,222,"Monroe, LA",32.5093,-92.1193,1085,12.5,2.80%
394565,223,"Elkhart, IN",41.6819,-85.9767,908,12.5,10.90%
394726,224,"Johnson City, TN",36.3134,-82.3535,1253,10,10.40%
395247,225,"Yuma, AZ",32.6927,-114.6277,1132,10,4.40%
394623,226,"Gainesville, GA",34.2979,-83.8241,1584,12.5,-0.80%
394716,227,"Jacksonville, NC",34.7541,-77.4302,1074,10,6.30%
394597,228,"Florence, SC",34.1954,-79.7626,1415,10,1.90%
394680,229,"Hilo, HI",19.707,-155.0885,2157,10,0.00%
395118,230,"St. Cloud, MN",45.5579,-94.1632,1277,12.5,2.90%
