RegionID,SizeRank,City/State,Lat,Long,Monthly Average,Radius,YOY
394995,115,"Port St. Lucie, FL",27.273,-80.3582,2055,12.5,3.50%
394761,116,"Lafayette, LA",30.2241,-92.0198,1264,12.5,4.50%
394898,117,"Myrtle Beach, SC",33.6891,-78.8867,1607,12.5,-0.40%
395116,118,"Springfield, MO",37.2089,-93.2923,933,12.5,4.60%
395195,119,"Visalia, CA",36.3302,-119.2921,1388,12.5,2.60%
394746,120,"Killeen, TX",31.1171,-97.7278,1092,12.5,2.00%
394338,121,"Asheville, NC",35.5951,-82.5515,1546,12.5,-1.40%
395244,122,"York, PA",39.9626,-76.7277,1205,12.5,6.30%
395183,123,"Vallejo, CA",38.1041,-122.2566,2296,12.5,2.50%
753917,124,"Santa Maria, CA",34.953,-120.4357,2801,12.5,0.50%
395050,125,"Salinas, CA",36.6777,-121.6555,2302,15.0,3.60%
395048,126,"Salem, OR",44.9429,-123.0351,1587,12.5,1.70%
394870,127,"Mobile, AL",30.6954,-88.0399,1302,15.0,2.30%
395015,128,"Reading, PA",40.3356,-75.9269,1340,12.5,1.90%
394502,129,"Corpus Christi, TX",27.8006,-97.3964,1221,17.5,0.70%
394421,130,"Brownsville, TX",25.9017,-97.4975,1178,15.0,4.40%
394820,131,"Manchester, NH",42.9956,-71.4548,2102,12.5,3.10%
394612,132,"Fort Wayne, IN",41.0793,-85.1394,1136,15.0,2.90%
394658,133,"Gulfport, MS",30.3674,-89.0928,1306,12.5,2.20%
395051,134,"Salisbury, MD",38.3607,-75.5994,1791,12.5,5.10%
394596,135,"Flint, MI",43.0125,-83.6875,1150,12.5,3.10%
394972,136,"Peoria, IL",40.6936,-89.589,1055,12.5,4.40%
394439,137,"Canton, OH",40.7989,-81.3784,1031,12.5,5.50%
395070,138,"Savannah, GA",32.0809,-81.0912,1692,12.5,1.10%
394327,139,"Anchorage, AK",61.2181,-149.9003,1563,17.5,3.40%
